ZIPCode,Date,Densite
49374,2013,149.85
49374,2018,147.73
49377,1968,42.11
49377,1975,55.2
49377,1982,75.27
49377,1990,88.38
49377,1999,94.54
49377,2008,112.15
49377,2013,115.39
49377,2018,118.95
49378,1968,61.89
49378,1975,72.16
49378,1982,77.95
49378,1990,81.36
49378,1999,80.84
49378,2008,98.36
49378,2013,108.16
49378,2018,110.44
49381,1968,31.55
49381,1975,34.95
49381,1982,38.0
49381,1990,40.19
49381,1999,38.76
49381,2008,42.06
49381,2013,44.98
49381,2018,44.93
