ZIPCode,Date,Densite
49069,2008,95.22
49069,2013,102.5
49069,2018,104.61
49070,1968,19.73
49070,1975,19.04
49070,1982,22.02
49070,1990,24.17
49070,1999,23.01
49070,2008,24.79
49070,2013,25.92
49070,2018,25.12
49076,1968,34.81
49076,1975,26.81
49076,1982,33.21
49076,1990,38.01
49076,1999,39.51
49076,2008,56.44
49076,2013,67.92
49076,2018,71.97
49080,1968,40.53
49080,1975,41.94
49080,1982,46.56
49080,1990,44.33
49080,1999,44.91
49080,2008,56.66
49080,2013,59.63
49080,2018,61.12
49082,1968,53.55
49082,1975,51.73
49082,1982,55.31
49082,1990,55.99
49082,1999,53.55
49082,2008,64.93
49082,2013,65.13
49082,2018,63.98
49086,1968,47.34
49086,1975,48.08
49086,1982,48.66
49086,1990,48.48
49086,1999,50.83
49086,2008,58.76
49086,2013,65.98
49086,2018,69.75
49089,1968,31.38
49089,1975,32.06
49089,1982,29.36
49089,1990,27.71
49089,1999,27.29
49089,2008,32.19
49089,2013,34.17
49089,2018,34.13
49090,1968,39.19
49090,1975,36.43
49090,1982,46.74
49090,1990,49.39
49090,1999,47.38
49090,2008,51.3
49090,2013,56.48
49090,2018,56.08
49092,1968,48.75
49092,1975,49.23
49092,1982,52.77
49092,1990,55.4
49092,1999,55.67
49092,2008,63.33
49092,2013,65.76
49092,2018,64.77
49099,1968,487.25
49099,1975,605.65
49099,1982,634.78
49099,1990,630.3
49099,1999,619.69
49099,2008,618.7
49099,2013,616.1
49099,2018,619.48
49100,1968,23.07
49100,1975,21.05
49100,1982,20.74
49100,1990,20.74
49100,1999,21.36
49100,2008,23.48
49100,2013,25.97
49100,2018,24.31
49102,1968,22.72
49102,1975,20.29
49102,1982,20.15
49102,1990,18.77
49102,1999,16.15
49102,2008,15.09
49102,2013,16.01
49102,2018,15.64
49107,1968,39.11
49107,1975,38.25
49107,1982,47.3
49107,1990,45.18
49107,1999,42.2
49107,2008,40.94
49107,2013,44.7
49107,2018,45.09
49109,1968,38.52
49109,1975,40.43
49109,1982,43.82
49109,1990,43.7
49109,1999,41.41
49109,2008,47.57
49109,2013,49.92
49109,2018,50.43
49110,1968,36.77
49110,1975,39.76
49110,1982,40.17
49110,1990,43.35
49110,1999,48.27
49110,2008,51.54
49110,2013,54.56
49110,2018,59.26
49112,1968,50.22
49112,1975,52.16
49112,1982,61.87
49112,1990,71.34
49112,1999,64.55
49112,2008,65.82
49112,2013,67.54
49112,2018,69.78
49113,1968,51.65
49113,1975,48.64
49113,1982,52.65
49113,1990,60.94
49113,1999,61.52
49113,2008,63.95
49113,2013,67.81
49113,2018,73.68
49114,1968,19.83
