,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Adresse,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
397,28/02/2022,Vente,"315000,00",0,Maison,33.0,2.0,928.0,5257   LA RAVERIE RIVES-DU-LOIR-EN-ANJOU 49140 France,47.556097,-0.433294,Chemin de la Raverie 49140 Rives-du-Loir-en-Anjou,0.65,street,49377_0145,,Chemin de la Raverie,,49140,Rives-du-Loir-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49377,49377,Villevêque,,ok
398,28/02/2022,Vente,"315000,00",0,Maison,122.0,6.0,928.0,5257   LA RAVERIE RIVES-DU-LOIR-EN-ANJOU 49140 France,47.556097,-0.433294,Chemin de la Raverie 49140 Rives-du-Loir-en-Anjou,0.65,street,49377_0145,,Chemin de la Raverie,,49140,Rives-du-Loir-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49377,49377,Villevêque,,ok
399,23/02/2022,Vente,"230000,00",0,Maison,103.0,5.0,356.0,7 IMP DU BOIS DU LYS BRISSAC LOIRE AUBANCE 49320 France,47.395966,-0.428957,7 Impasse du Bois du Lys 49320 Brissac Loire Aubance,0.78,housenumber,49318_0005_00007,7,Impasse du Bois du Lys,,49320,Brissac Loire Aubance,"49, Maine-et-Loire, Pays de la Loire",49050,49318,Saint-Saturnin-sur-Loire,,ok
400,15/03/2022,Vente,"60000,00",0,Maison,95.0,5.0,810.0,8 RUE DU PATRONAGE LYS-HAUT-LAYON 49310 France,47.156415,-0.447978,8 Rue du Patronage 49310 Lys-Haut-Layon,0.82,housenumber,49373_1905_00008,8,Rue du Patronage,,49310,Lys-Haut-Layon,"49, Maine-et-Loire, Pays de la Loire",49373,49356,Trémont,,ok
401,15/03/2022,Vente,"60000,00",0,Local industriel. commercial ou assimilé,1373.0,0.0,810.0,8 RUE DU PATRONAGE LYS-HAUT-LAYON 49310 France,47.156415,-0.447978,8 Rue du Patronage 49310 Lys-Haut-Layon,0.82,housenumber,49373_1905_00008,8,Rue du Patronage,,49310,Lys-Haut-Layon,"49, Maine-et-Loire, Pays de la Loire",49373,49356,Trémont,,ok
402,09/03/2022,Vente,"320200,00",0,Maison,219.0,8.0,1400.0,108 RTE DE SARRIGNE (CORNE) LOIRE-AUTHION 49630 France,47.484945,-0.357271,108 Route de Sarrigné (Corné) 49800 Loire-Authion,0.7,housenumber,49106_0139_00108,108,Route de Sarrigné (Corné),,49800,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49106,Corné,,ok
403,09/03/2022,Vente,"320200,00",0,Maison,219.0,8.0,800.0,108 RTE DE SARRIGNE (CORNE) LOIRE-AUTHION 49630 France,47.484945,-0.357271,108 Route de Sarrigné (Corné) 49800 Loire-Authion,0.7,housenumber,49106_0139_00108,108,Route de Sarrigné (Corné),,49800,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49106,Corné,,ok
404,23/02/2022,Vente,"190000,00",0,Maison,208.0,7.0,675.0,93 RUE PRINCIPALE MAZE-MILON 49630 France,47.456085,-0.273314,93 Rue Principale 49630 Mazé-Milon,0.81,housenumber,49194_0105_00093,93,Rue Principale,,49630,Mazé-Milon,"49, Maine-et-Loire, Pays de la Loire",49194,49194,Mazé,,ok
405,03/03/2022,Vente,"305263,16",0,Maison,158.0,6.0,550.0,5444   LA BRUNETIERE CORZE 49140 France,47.555064,-0.386711,Rue de la Fruitiere 49140 Corzé,0.53,street,49110_0071,,Rue de la Fruitiere,,49140,Corzé,"49, Maine-et-Loire, Pays de la Loire",49110,,,,ok
406,03/03/2022,Vente,"305263,16",0,Maison,158.0,6.0,1661.0,5444   LA BRUNETIERE CORZE 49140 France,47.555064,-0.386711,Rue de la Fruitiere 49140 Corzé,0.53,street,49110_0071,,Rue de la Fruitiere,,49140,Corzé,"49, Maine-et-Loire, Pays de la Loire",49110,,,,ok
