,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,latitude,longitude,result_score,moy_vf_10_plus_proches,moy_dist_10_plus_proches,densite_pop,prix_m2
35,06/01/2022,Vente,360000.0,0,1,120.0,5.0,223.0,47.481847,-0.533948,0.81,1980000.0,22.924443150653154,24.31,1614.3497757847533
36,14/01/2022,Vente,590000.0,0,1,189.0,7.0,778.0,47.444976,-0.570891,0.65,3245000.0,50.62669666047152,24.31,758.3547557840617
37,20/01/2022,Vente,212000.0,0,1,66.0,4.0,167.0,47.479603,-0.518093,0.83,1166000.0,26.969766840099126,24.31,1269.4610778443114
38,04/02/2022,Vente,650000.0,0,3,700.0,0.0,1863.0,47.434793,-0.504718,0.83,3575000.0,24.089952734134226,52.03,348.8996242619431
39,27/01/2022,Vente,280000.0,0,3,130.0,0.0,147.0,47.481564,-0.523504,0.67,1540000.0,27.00430165574565,24.31,1904.7619047619048
40,31/01/2022,Vente,357000.0,0,1,100.0,4.0,783.0,47.572289,-0.487194,0.81,1963500.0,68.65276802221437,74.72,455.93869731800766
41,12/01/2022,Vente,300000.0,0,1,90.0,5.0,563.0,47.480849,-0.518478,0.69,1650000.0,23.386771339155867,24.31,532.8596802841919
42,03/02/2022,Vente,210000.0,0,1,78.0,2.0,537.0,47.552273,-0.428565,0.77,1155000.0,45.127664903410135,103.91,391.06145251396646
43,24/01/2022,Vente,397500.0,0,1,125.0,6.0,937.0,47.488289,-0.530675,0.72,2186250.0,33.07537757278436,24.31,424.22625400213445
44,27/01/2022,Vente,453000.0,0,1,118.0,4.0,253.0,47.483888,-0.540988,0.83,2491500.0,35.37722325404314,24.31,1790.5138339920948
45,25/01/2022,Vente,420000.0,0,1,150.0,6.0,1000.0,47.576721,-0.464598,0.79,2310000.0,80.9611386756445,103.91,420.0
46,25/01/2022,Vente,420000.0,0,1,150.0,6.0,4675.0,47.576721,-0.464598,0.79,2310000.0,80.9611386756445,103.91,89.83957219251337
47,27/01/2022,Vente,305263.0,0,1,97.0,5.0,1466.0,47.522379,-0.446997,0.5,1678946.5,33.32674158777371,69.78,208.22851296043657
48,27/01/2022,Vente,305263.0,0,1,97.0,5.0,500.0,47.522379,-0.446997,0.5,1678946.5,33.32674158777371,69.78,610.526
49,10/02/2022,Vente,250000.0,0,1,88.0,5.0,995.0,47.623012,-0.469842,0.79,1375000.0,58.10615845140985,74.72,251.25628140703517
50,02/02/2022,Vente,370000.0,0,1,66.0,3.0,770.0,47.43871,-0.507822,0.77,2035000.0,45.88247494253065,52.03,480.5194805194805
51,03/02/2022,Vente,625000.0,0,1,192.0,7.0,629.0,47.482361,-0.535652,0.83,3437500.0,23.339676321721708,24.31,993.6406995230525
52,08/02/2022,Vente,475000.0,0,1,87.0,5.0,129.0,47.47597,-0.540594,0.79,2612500.0,9.06303005936158,24.31,3682.170542635659
53,27/01/2022,Vente,150000.0,0,1,64.0,4.0,799.0,47.560667,-0.427445,0.86,825000.0,46.82039559102188,103.91,187.7346683354193
54,24/01/2022,Vente,140000.0,0,3,350.0,0.0,1225.0,47.426522,-0.591967,0.62,770000.0,91.72602075542368,52.03,114.28571428571429
55,15/02/2022,Vente,268000.0,0,1,123.0,6.0,585.0,47.613312,-0.465871,0.78,1474000.0,37.03599888083993,74.72,458.11965811965814
56,21/01/2022,Vente,265000.0,0,1,64.0,4.0,262.0,47.456455,-0.518473,0.67,1457500.0,30.019508433391366,24.31,1011.4503816793894
57,11/02/2022,Vente,218000.0,0,1,74.0,4.0,526.0,47.557172,-0.425083,0.77,1199000.0,43.64962803700661,103.91,414.4486692015209
58,11/02/2022,Vente,218000.0,0,1,74.0,4.0,604.0,47.557172,-0.425083,0.77,1199000.0,43.64962803700661,103.91,360.92715231788077
59,11/02/2022,Vente,650000.0,0,1,269.0,7.0,800.0,47.573265,-0.501535,0.74,3575000.0,64.77769094829603,74.72,812.5
60,11/02/2022,Vente,650000.0,0,1,269.0,7.0,1001.0,47.573265,-0.501535,0.74,3575000.0,64.77769094829603,74.72,649.3506493506494
61,21/02/2022,Vente,393000.0,0,1,148.0,8.0,344.0,47.43976,-0.497757,0.84,2161500.0,25.500363103544537,52.03,1142.4418604651162
62,28/01/2022,Vente,650000.0,0,1,153.0,7.0,197.0,47.478117,-0.546624,0.83,3575000.0,32.97120171183101,24.31,3299.492385786802
63,24/01/2022,Vente,250000.0,0,1,44.0,2.0,203.0,47.478837,-0.53619,0.81,1375000.0,15.54647741353171,24.31,1231.527093596059
64,25/01/2022,Vente,440000.0,0,1,124.0,5.0,272.0,47.418403,-0.524448,0.72,2420000.0,82.65875175665009,52.03,1617.6470588235295
65,09/02/2022,Vente,210000.0,0,1,78.0,4.0,242.0,47.49039,-0.524565,0.66,1155000.0,38.936288508896176,24.31,867.7685950413223
66,21/02/2022,Vente,225000.0,0,1,100.0,5.0,1640.0,47.586531,-0.490319,0.72,1237500.0,71.70832772434915,74.72,137.1951219512195
67,21/02/2022,Vente,225000.0,0,1,100.0,5.0,800.0,47.586531,-0.490319,0.72,1237500.0,71.70832772434915,74.72,281.25
68,16/02/2022,Vente,100000.0,0,1,87.0,4.0,2000.0,47.543853,-0.425978,0.76,550000.0,50.003962754191924,103.91,50.0
69,16/02/2022,Vente,100000.0,0,1,87.0,4.0,3755.0,47.543853,-0.425978,0.76,550000.0,50.003962754191924,103.91,26.63115845539281
70,24/02/2022,Vente,520000.0,0,1,181.0,7.0,329.0,47.48601,-0.515001,0.72,2860000.0,27.207411297371465,24.31,1580.547112462006
71,14/02/2022,Vente,780000.0,0,3,840.0,0.0,2400.0,47.43715,-0.492817,0.65,4290000.0,33.35680805409519,52.03,325.0
72,10/02/2022,Vente,970000.0,0,1,218.0,7.0,1001.0,47.449572,-0.522017,0.83,5335000.0,38.06116303092348,52.03,969.030969030969
73,10/02/2022,Vente,970000.0,0,1,218.0,7.0,984.0,47.449572,-0.522017,0.83,5335000.0,38.06116303092348,52.03,985.7723577235772
74,03/02/2022,Vente,610000.0,0,1,151.0,7.0,134.0,47.467402,-0.539489,0.81,3355000.0,19.344709195246026,24.31,4552.238805970149
75,23/02/2022,Vente,300000.0,0,2,36.0,2.0,121.0,47.471659,-0.535068,0.81,1650000.0,18.237705026002203,24.31,2479.3388429752067
76,23/02/2022,Vente,300000.0,0,2,37.0,2.0,121.0,47.471659,-0.535068,0.81,1650000.0,18.237705026002203,24.31,2479.3388429752067
77,28/02/2022,Vente,500000.0,0,1,167.0,10.0,807.0,47.473705,-0.537057,0.78,2750000.0,13.32899348302865,24.31,619.5786864931846
78,28/02/2022,Vente,500000.0,0,1,59.0,3.0,807.0,47.473705,-0.537057,0.78,2750000.0,13.32899348302865,24.31,619.5786864931846
79,28/02/2022,Vente,252000.0,0,1,103.0,4.0,1000.0,47.607273,-0.407073,0.53,1386000.0,151.39297658591082,103.91,252.0
80,28/02/2022,Vente,252000.0,0,1,103.0,4.0,1417.0,47.607273,-0.407073,0.53,1386000.0,151.39297658591082,103.91,177.84050811573746
81,03/02/2022,Vente,500000.0,0,1,126.0,6.0,578.0,47.464796,-0.563789,0.83,2750000.0,36.538553578012234,24.31,865.0519031141869
82,28/02/2022,Vente,160000.0,0,1,57.0,4.0,760.0,47.576856,-0.452661,0.71,880000.0,79.01060059519557,103.91,210.52631578947367
83,28/02/2022,Vente,160000.0,0,1,57.0,4.0,700.0,47.576856,-0.452661,0.71,880000.0,79.01060059519557,103.91,228.57142857142858
84,09/02/2022,Vente,200000.0,0,1,88.0,4.0,550.0,47.558282,-0.430432,0.79,1100000.0,44.074654319902294,103.91,363.6363636363636
85,11/02/2022,Vente,630000.0,0,1,180.0,8.0,118.0,47.46661,-0.544059,0.81,3465000.0,15.473038563680173,24.31,5338.983050847458
86,09/02/2022,Vente,450000.0,0,1,144.0,5.0,836.0,47.438258,-0.519902,0.86,2475000.0,38.55669336889744,52.03,538.2775119617224
87,01/03/2022,Vente,97500.0,0,1,70.0,3.0,500.0,47.618692,-0.512778,0.71,536250.0,152.9550627075134,74.72,195.0
88,01/03/2022,Vente,97500.0,0,1,70.0,3.0,614.0,47.618692,-0.512778,0.71,536250.0,152.9550627075134,74.72,158.79478827361564
89,04/02/2022,Vente,30000.0,0,1,10.0,1.0,12.0,47.413183,-0.503382,0.72,165000.0,74.14707894321627,52.03,2500.0
90,04/02/2022,Vente,65000.0,0,1,78.0,3.0,372.0,47.41284,-0.511974,0.65,357500.0,86.70401806591099,52.03,174.7311827956989
91,09/02/2022,Vente,120000.0,0,1,37.0,1.0,140.0,47.570888,-0.492774,0.61,660000.0,62.3659103093908,74.72,857.1428571428571
92,24/02/2022,Vente,353000.0,0,1,121.0,5.0,295.0,47.44578,-0.535354,0.57,1941500.0,45.18466607188317,24.31,1196.6101694915253
93,15/02/2022,Vente,382000.0,0,1,90.0,4.0,916.0,47.424315,-0.551617,0.76,2101000.0,78.90750533735215,52.03,417.0305676855895
94,28/02/2022,Vente,305000.0,0,1,101.0,4.0,556.0,47.438023,-0.517472,0.86,1677500.0,46.41692414407498,52.03,548.5611510791367
95,28/02/2022,Vente,250000.0,0,1,86.0,5.0,81.0,47.476486,-0.535419,0.71,1375000.0,13.808944355215445,24.31,3086.41975308642
96,03/03/2022,Vente,327050.0,0,1,91.0,5.0,138.0,47.481584,-0.530449,0.59,1798775.0,20.98845830628857,24.31,2369.927536231884
97,28/02/2022,Vente,650000.0,0,3,1292.0,0.0,5968.0,47.484256,-0.546291,0.79,3575000.0,48.44433410863985,24.31,108.91420911528151
98,01/03/2022,Vente,190000.0,0,1,50.0,3.0,127.0,47.475489,-0.538727,0.77,1045000.0,7.6410555824956585,24.31,1496.0629921259842
99,28/02/2022,Vente,190000.0,0,1,135.0,6.0,66.0,47.21354,-0.623343,0.71,1045000.0,217.3054070150507,88.97,2878.787878787879
100,11/03/2022,Vente,305000.0,0,1,118.0,6.0,458.0,47.522462,-0.447014,0.48,1677500.0,33.300271821591174,69.78,665.938864628821
101,25/02/2022,Vente,230000.0,0,1,147.0,4.0,350.0,47.237424,-0.579486,0.7,1265000.0,131.84866957599436,88.97,657.1428571428571
102,07/03/2022,Vente,183269.0,0,1,114.0,4.0,715.0,47.678103,-0.493201,0.83,1007979.5,24.94512664774326,69.03,256.3202797202797
